"~id","~start_node_id","~end_node_id","~relationship_type","software","products"
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1155259066327498752","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","REGULATED_BY",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917642277338742858","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:74","OWNED_BY",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1152943494839402496","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","AFFECTED_BY",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917635680268976196","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68","SERVES",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153017162118463488","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","SHAREHOLDER_OF",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917637879292231770","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:90","INTERACTS_WITH",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1157535055396995162","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:90","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68","POTENTIALLY_ATTACKS",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153031455769624666","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:90","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","POTENTIALLY_ATTACKS",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917620287106187320","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:56","DEVELOPs",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1152937997281263616","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","MANAGES",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917564212013170700","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:12","OFFERS",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917564212013170724","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:36","OFFERS",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917641177827115084","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:76","DEVELOPED_BY",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1152939096792891450","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","INVESTS_IN",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153016062606835712","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","BOARD_MEMBER_OF",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153009465537069056","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:12","sells",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153018261630091264","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","LAUNCHES",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917558714455031890","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:82","DEPENDS_ON",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153032555281252410","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","ACQUIRES",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917631282222465104","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:80","LICENSES_FROM",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917632381734092868","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68","SELLS_TO",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1152957788490563658","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:74","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:59","OPERATES_IN",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917565311524798505","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:41","OPERATES_IN",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1155209588304248832","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","OPERATES_IN",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1157461388117934138","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:7","OPERATES_IN",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1152957788490563584","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:5","OPERATES_IN",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917636779780603993","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:89","WORKS_WITH",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153010565048696832","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:13","MANUFACTURES",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153021560164974660","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","PURCHASES_FROM",,"hardware"
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153013863583580160","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","SUBJECT_TO",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917621386617815132","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:92","SUBJECT_TO",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1152922604118474752","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","DEVELOPS",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1152933599234752512","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","COMPETES_WITH",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917633481245720663","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:87","EMPLOYS",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917612590524792887","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:55","MANUFACtures",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1152996271397535744","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","REPORTED_IN",,
