~start_node_id,~start_node_labels,~start_node_property_Headquarters,~start_node_property_name,~start_node_property_original_names,~relationship_type,~end_node_id,~end_node_labels,~end_node_property_name,~end_node_property_original_names,~end_node_property_Headquarters,~relationship_property_software,~end_node_property_operating_system,~relationship_property_products
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:90,Company,,Third Parties,['Third Parties'],POTENTIALLY_ATTACKS,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68,Organization,Customers,['Customers'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:90,Company,,Third Parties,['Third Parties'],POTENTIALLY_ATTACKS,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,Company,['Company'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],DEVELOPs,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:56,Product,Operating System,['Operating System'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],MANAGES,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],OFFERS,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:12,Product,Services,['Services'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],OFFERS,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:36,Organization,Applecare,['Applecare'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],DEVELOPED_BY,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:76,Product,Ios,['Ios'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],INVESTS_IN,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,Company,['Company'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],BOARD_MEMBER_OF,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],sells,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:12,Product,Services,['Services'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],LAUNCHES,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],DEPENDS_ON,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:82,Company,Carriers,['Carriers'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],ACQUIRES,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,Company,['Company'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],LICENSES_FROM,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:80,Company,Third-party Content Providers,['Third-party Content Providers'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],SELLS_TO,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68,Organization,Customers,['Customers'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:74,Product,,App Store,['App Store'],OPERATES_IN,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:59,Location,U.S.,['U.S.'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],OPERATES_IN,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:41,Organization,Americas,['Americas'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],OPERATES_IN,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],OPERATES_IN,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:7,Product,Smartphones,['Smartphones'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],OPERATES_IN,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:5,Location,California,['California'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],WORKS_WITH,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:89,Organization,Suppliers,['Suppliers'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],MANUFACTURES,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:13,Organization,Iphone,['Iphone'],,,iOS,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68,Organization,,Customers,['Customers'],PURCHASES_FROM,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,hardware
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],SUBJECT_TO,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],SUBJECT_TO,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:92,Organization,European Commission,['European Commission'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],DEVELOPS,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],COMPETES_WITH,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],EMPLOYS,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:87,Person,Employees,['Employees'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],MANUFACtures,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:55,Product,Hardware,['Hardware'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],REPORTED_IN,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
